"","Folder","Image Name","Origin","Accession #","Fossil/extant","Tooth Type","Side","Family","Tribe","Genus","Species","User ID","ML or BW"
"1",NA,"DSCN4053",NA,NA,NA,"UM2",NA,"Bovidae","Alcelaphini","Damaliscus","dorcas","GJM",NA
"2",NA,"DSCN5040",NA,NA,NA,"UM2",NA,"Bovidae","Tragelaphini","Tragelaphus","scriptus","GJM",NA
"3",NA,"DSCN2943",NA,NA,NA,"UM1",NA,"Bovidae","Alcelaphini","Damaliscus","dorcas","GJM",NA
"4",NA,"DSCN4788",NA,NA,NA,"UM1",NA,"Bovidae","Alcelaphini","Alcelaphus","buselaphus","GJM",NA
"5",NA,"DSCN4792",NA,NA,NA,"UM1",NA,"Bovidae","Alcelaphini","Alcelaphus","buselaphus","GJM",NA
"6",NA,"DSCN5041",NA,NA,NA,"UM1",NA,"Bovidae","Tragelaphini","Tragelaphus","scriptus","GJM",NA
"7",NA,"DSCN5402",NA,NA,NA,"UM1",NA,"Bovidae","Neotragini","Raphicerus","campestris","GJM",NA
"8",NA,"DSCN6171",NA,NA,NA,"UM1",NA,"Bovidae","Reduncini","Redunca","fulvorufulva","GJM",NA
"9",NA,"DSCN6374",NA,NA,NA,"UM1",NA,"Bovidae","Reduncini","Redunca","arundinum","GJM",NA
"10",NA,"DSCN6370",NA,NA,NA,"UM1",NA,"Bovidae","Reduncini","Redunca","arundinum","GJM",NA
"11",NA,"DSCN4850",NA,NA,NA,"LM2",NA,"Bovidae","Alcelaphini","Alcelaphus","buselaphus","GJM",NA
"12",NA,"DSCN5321",NA,NA,NA,"UM2",NA,"Bovidae","Tragelaphini","Tragelaphus","strepsiceros","GJM",NA
"13",NA,"DSCN5324",NA,NA,NA,"UM2",NA,"Bovidae","Tragelaphini","Tragelaphus","strepsiceros","GJM",NA
"14",NA,"DSCN6166",NA,NA,NA,"UM2",NA,"Bovidae","Reduncini","Redunca","fulvorufulva","GJM",NA
"15",NA,"DSCN6174",NA,NA,NA,"UM2",NA,"Bovidae","Reduncini","Redunca","fulvorufulva","GJM",NA
"16",NA,"DSCN5404",NA,NA,NA,"UM3",NA,"Bovidae","Neotragini","Raphicerus","campestris","GJM",NA
"17",NA,"DSCN5408",NA,NA,NA,"UM3",NA,"Bovidae","Neotragini","Raphicerus","campestris","GJM",NA
"18",NA,"DSCN6165",NA,NA,NA,"UM3",NA,"Bovidae","Reduncini","Redunca","fulvorufulva","GJM",NA
"19",NA,"DSCN6169",NA,NA,NA,"UM3",NA,"Bovidae","Reduncini","Redunca","fulvorufulva","GJM",NA
"20",NA,"DSCN6173",NA,NA,NA,"UM3",NA,"Bovidae","Reduncini","Redunca","fulvorufulva","GJM",NA
